"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO";"SITUACAO"
"AAVA SANTIAGO AGUIAR";"GOIAS";"DEPUTADO ESTADUAL";"70456";"AVANTE";"1";"SUPLENTE"
"ABDAEL AMBRUSTER";"SAO PAULO";"DEPUTADO ESTADUAL";"13707";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ABDALA HABIB FRAXE JUNIOR";"AMAZONAS";"DEPUTADO ESTADUAL";"19000";"PODEMOS";"1";"NAO ELEITO"
"ABDIAS DAMASCENO DA SILVA";"ACRE";"DEPUTADO ESTADUAL";"17789";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ABDIAS DE OLIVEIRA SILVA";"PERNAMBUCO";"DEPUTADO FEDERAL";"2766";"DEMOCRACIA CRISTA";"1";"NAO ELEITO"
"ABDUL HAMID SEBBA";"GOIAS";"DEPUTADO ESTADUAL";"17123";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ABEILARD GOULART DE SOUZA FILHO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1223";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ABEL ALVES DE OLIVEIRA";"PARANA";"DEPUTADO FEDERAL";"1306";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ABEL BARRETO";"SAO PAULO";"DEPUTADO ESTADUAL";"16001";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";"1";"NAO ELEITO"
"ABEL BICHESKI";"SANTA CATARINA";"DEPUTADO ESTADUAL";"77377";"SOLIDARIEDADE";"1";"SUPLENTE"
"ABEL COSTA";"SAO PAULO";"DEPUTADO FEDERAL";"3622";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"ABEL DE FRANCA PEDRACA FILHO";"AMAZONAS";"DEPUTADO ESTADUAL";"12633";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ABEL DO PORTO SANTOS";"SAO PAULO";"DEPUTADO FEDERAL";"1032";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ABEL ELIAS DE CAMARGO";"SAO PAULO";"DEPUTADO ESTADUAL";"51911";"PATRIOTA";"1";"SUPLENTE"
"ABEL ENRIQUE DUARTE";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"31331";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ABEL HACK";"SANTA CATARINA";"DEPUTADO ESTADUAL";"40700";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ABEL MOACIR BURGDURFF DE MORAES";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"16161";"PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO";"1";"NAO ELEITO"
"ABEL SANTOS GALVAO";"CEARA";"DEPUTADO ESTADUAL";"70700";"AVANTE";"1";"SUPLENTE"
"ABELARDO PEDRO NOBRE JUNIOR";"ALAGOAS";"DEPUTADO FEDERAL";"5000";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ABELINO PEREIRA DE SOUZA";"PARANA";"DEPUTADO ESTADUAL";"40500";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ABENONIZA MARIA MOURA";"PIAUI";"DEPUTADO FEDERAL";"5001";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ABIAS DE SOUSA SILVA";"DISTRITO FEDERAL";"DEPUTADO FEDERAL";"1300";"PARTIDO DOS TRABALHADORES";"1";"SUPLENTE"
"ABIDENE SALUSTIANO DA SILVA";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"20000";"PARTIDO SOCIAL CRISTAO";"1";"SUPLENTE"
"ABIEZER JONATAS DE CAMARGO";"PARANA";"DEPUTADO ESTADUAL";"50456";"PARTIDO SOCIALISMO E LIBERDADE";"1";"NAO ELEITO"
"ABIGAIL BENTO DA SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"44003";"PARTIDO REPUBLICANO PROGRESSISTA";"1";"NAO ELEITO"
"ABIGAIL CARLOS DE ALMEIDA";"GOIAS";"2º SUPLENTE";"251";"DEMOCRATAS";"1";"NAO ELEITO"
"ABIGUAR RODRIGUES CLAUDIO FILHO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"7099";"AVANTE";"1";"SUPLENTE"
"ABILIO MACIEL DA SILVA FILHO";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"2812";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ABILIO OTILIO BEZERRA FILHO";"RORAIMA";"DEPUTADO ESTADUAL";"11777";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ABIMAEL GUIMARAES DA SILVA";"GOIAS";"DEPUTADO ESTADUAL";"27654";"DEMOCRACIA CRISTA";"1";"SUPLENTE"
"ABRAAO BRAGA FERREIRA";"PARA";"DEPUTADO ESTADUAL";"12234";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ABRAAO CAVALCANTE LIMA";"TOCANTINS";"DEPUTADO FEDERAL";"5454";"PARTIDO PATRIA LIVRE";"1";"NAO ELEITO"
"ABRAAO GONCALVES";"SAO PAULO";"DEPUTADO FEDERAL";"3608";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"ABRAAO INACIO NETO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"31666";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ABRAAO JOVINIANO DOS SANTOS";"BAHIA";"DEPUTADO ESTADUAL";"31168";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ABRAAO LINCOLN FERREIRA DA CRUZ";"RIO GRANDE DO NORTE";"DEPUTADO FEDERAL";"1010";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ABRAAO NATANAEL DE SALES";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3316";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"SUPLENTE"
"ABRAAO RIBEIRO DO NASCIMENTO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"19770";"PODEMOS";"1";"SUPLENTE"
"ABRAHAO HISSA SAFAR NETO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"40192";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ABRAO FERNANDES GODOIS";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"5080";"PARTIDO SOCIALISMO E LIBERDADE";"1";"SUPLENTE"
"ABRAO NUNES MARTINS";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"17027";"PARTIDO SOCIAL LIBERAL";"1";"SUPLENTE"
"ACACI ANTONIO DE AMORIM";"CEARA";"DEPUTADO ESTADUAL";"65400";"PARTIDO COMUNISTA DO BRASIL";"1";"SUPLENTE"
"ACACIO DA SILVA FAVACHO NETO";"AMAPA";"DEPUTADO FEDERAL";"9000";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"1";"ELEITO POR QP"
"ACACIO JOSE ROZENDO FALCAO";"MATO GROSSO";"DEPUTADO ESTADUAL";"25222";"DEMOCRATAS";"1";"SUPLENTE"
"ACACIO SCHEIDT DE SOUZA";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"12125";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ACELIANE VARGAS MASCARELLO";"RIO GRANDE DO SUL";"DEPUTADO ESTADUAL";"51236";"PATRIOTA";"1";"SUPLENTE"
"ACELINO FREITAS";"BAHIA";"DEPUTADO FEDERAL";"1299";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"SUPLENTE"
"ACEMAR DA SILVA";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"2322";"PARTIDO POPULAR SOCIALISTA";"1";"NAO ELEITO"
"ACENIL GUERRA DA COSTA";"GOIAS";"DEPUTADO FEDERAL";"3660";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"ACENILDO FURTADO DA COSTA";"AMAPA";"DEPUTADO FEDERAL";"4344";"PARTIDO VERDE";"1";"NAO ELEITO"
"ACHILES EDUARDO PONTES CAMPOS";"AMAPA";"DEPUTADO FEDERAL";"1456";"PARTIDO TRABALHISTA BRASILEIRO";"1";"SUPLENTE"
"ACINOVIC ALVES FERREIRA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1066";"PARTIDO REPUBLICANO BRASILEIRO";"1";"SUPLENTE"
"ACIR FURTADO GONCALVES";"AMAPA";"DEPUTADO ESTADUAL";"40000";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ACIR MARCOS GURGACZ";"RONDONIA";"GOVERNADOR";"12";"PARTIDO DEMOCRATICO TRABALHISTA";"1";"NAO ELEITO"
"ACIR PEREIRA RAMOS";"PIAUI";"DEPUTADO FEDERAL";"2350";"PARTIDO POPULAR SOCIALISTA";"1";"NAO ELEITO"
"ACIRIO PORFIRIO";"ESPIRITO SANTO";"DEPUTADO ESTADUAL";"40987";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ACITAMAR LUZ DE ARAUJO";"GOIAS";"DEPUTADO ESTADUAL";"11020";"PARTIDO PROGRESSISTA";"1";"SUPLENTE"
"ACLEMILDO BARBOSA DOS SANTOS";"AMAPA";"DEPUTADO ESTADUAL";"40190";"PARTIDO SOCIALISTA BRASILEIRO";"1";"SUPLENTE"
"ACLERISVALTER VASCONCELOS";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"2888";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"1";"NAO ELEITO"
"ACRAILTON FORDE";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3678";"PARTIDO TRABALHISTA CRISTAO";"1";"NAO ELEITO"
"ACSA JUNIA GERMANO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"31712";"PARTIDO HUMANISTA DA SOLIDARIEDADE";"1";"SUPLENTE"
"ACUCENA LIRA LINS";"PERNAMBUCO";"DEPUTADO FEDERAL";"3332";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"SUPLENTE"
"ADA CLEIA SICHINEL DANTAS BOABAID";"RONDONIA";"DEPUTADO FEDERAL";"3399";"PARTIDO DA MOBILIZACAO NACIONAL";"1";"NAO ELEITO"
"ADA LILI FARACO DE LUCA";"SANTA CATARINA";"DEPUTADO ESTADUAL";"15015";"MOVIMENTO DEMOCRATICO BRASILEIRO";"1";"ELEITO POR MEDIA"
