"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO";"SITUACAO"
"ABEL SALVADOR MESQUITA JUNIOR";"RORAIMA";"VICE-GOVERNADOR";"45";"DEMOCRATAS";"NAO ELEITO"
"AMAZONINO ARMANDO MENDES";"AMAZONAS";"GOVERNADOR";"12";"PARTIDO DEMOCRATICO TRABALHISTA";"NAO ELEITO"
"ANDREIA TOLENTINO DA SILVA";"AMAPA";"VICE-GOVERNADOR";"40";"PARTIDO SOCIALISTA BRASILEIRO";"NAO ELEITO"
"ANTENOR ROBERTO SOARES DE MEDEIROS";"RIO GRANDE DO NORTE";"VICE-GOVERNADOR";"13";"PARTIDO COMUNISTA DO BRASIL";"ELEITO"
"ANTONIO AUGUSTO JUNHO ANASTASIA";"MINAS GERAIS";"GOVERNADOR";"45";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"NAO ELEITO"
"ANTONIO CARLOS VALADARES FILHO";"SERGIPE";"GOVERNADOR";"40";"PARTIDO SOCIALISTA BRASILEIRO";"NAO ELEITO"
"ANTONIO HAMILTON MARTINS MOURAO";"BRASIL";"VICE-PRESIDENTE";"17";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"ELEITO"
"ANTONIO OLIVERIO GARCIA DE ALMEIDA";"RORAIMA";"GOVERNADOR";"17";"PARTIDO SOCIAL LIBERAL";"ELEITO"
"ANTONIO WALDEZ GOES DA SILVA";"AMAPA";"GOVERNADOR";"12";"PARTIDO DEMOCRATICO TRABALHISTA";"ELEITO"
"BELIVALDO CHAGAS SILVA";"SERGIPE";"GOVERNADOR";"55";"PARTIDO SOCIAL DEMOCRATICO";"ELEITO"
"CARLOS ALBERTO SOUZA DE ALMEIDA FILHO";"AMAZONAS";"VICE-GOVERNADOR";"20";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO";"ELEITO"
"CARLOS EDUARDO CIARLINI ROSADO";"RIO GRANDE DO NORTE";"VICE-GOVERNADOR";"12";"PARTIDO PROGRESSISTA";"NAO ELEITO"
"CARLOS EDUARDO NUNES ALVES";"RIO GRANDE DO NORTE";"GOVERNADOR";"12";"PARTIDO DEMOCRATICO TRABALHISTA";"NAO ELEITO"
"CARLOS MOISES DA SILVA";"SANTA CATARINA";"GOVERNADOR";"17";"PARTIDO SOCIAL LIBERAL";"ELEITO"
"CLAUDIO BOMFIM DE CASTRO E SILVA";"RIO DE JANEIRO";"VICE-GOVERNADOR";"20";"PARTIDO SOCIAL CRISTAO";"ELEITO"
"DANIELA CRISTINA REINEHR";"SANTA CATARINA";"VICE-GOVERNADOR";"17";"PARTIDO SOCIAL LIBERAL";"ELEITO"
"EDUARDO DA COSTA PAES";"RIO DE JANEIRO";"GOVERNADOR";"25";"DEMOCRATAS";"NAO ELEITO"
"EDUARDO DUTRA BRANDAO CAVALCANTI";"DISTRITO FEDERAL";"VICE-GOVERNADOR";"40";"PARTIDO VERDE";"NAO ELEITO"
"EDUARDO FIGUEIREDO CAVALHEIRO LEITE";"RIO GRANDE DO SUL";"GOVERNADOR";"45";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"ELEITO"
"ELIANE AQUINO CUSTODIO";"SERGIPE";"VICE-GOVERNADOR";"55";"PARTIDO DOS TRABALHADORES";"ELEITO"
"ELIANE NIKOLUK SCACHETTI";"SAO PAULO";"VICE-GOVERNADOR";"40";"PARTIDO DA REPUBLICA";"NAO ELEITO"
"EXPEDITO GONCALVES FERREIRA JUNIOR";"RONDONIA";"GOVERNADOR";"45";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"NAO ELEITO"
"FERNANDO HADDAD";"BRASIL";"PRESIDENTE";"13";"PARTIDO DOS TRABALHADORES";"NAO ELEITO"
"FRUTUOSO LINS CAVALCANTE NETO";"RORAIMA";"VICE-GOVERNADOR";"17";"PARTIDO TRABALHISTA CRISTAO";"ELEITO"
"GELSON LUIZ MERISIO";"SANTA CATARINA";"GOVERNADOR";"55";"PARTIDO SOCIAL DEMOCRATICO";"NAO ELEITO"
"HELDER ZAHLUTH BARBALHO";"PARA";"GOVERNADOR";"15";"MOVIMENTO DEMOCRATICO BRASILEIRO";"ELEITO"
"IBANEIS ROCHA BARROS JUNIOR";"DISTRITO FEDERAL";"GOVERNADOR";"15";"MOVIMENTO DEMOCRATICO BRASILEIRO";"ELEITO"
"JAIME DOMINGUES NUNES";"AMAPA";"VICE-GOVERNADOR";"12";"PARTIDO REPUBLICANO DA ORDEM SOCIAL";"ELEITO"
"JAIR MESSIAS BOLSONARO";"BRASIL";"PRESIDENTE";"17";"PARTIDO SOCIAL LIBERAL";"ELEITO"
"JOAO AGRIPINO DA COSTA DORIA JUNIOR";"SAO PAULO";"GOVERNADOR";"45";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"ELEITO"
"JOAO ALBERTO RODRIGUES CAPIBERIBE";"AMAPA";"GOVERNADOR";"40";"PARTIDO SOCIALISTA BRASILEIRO";"NAO ELEITO"
"JOAO PAULO KARAM KLEINUBING";"SANTA CATARINA";"VICE-GOVERNADOR";"55";"DEMOCRATAS";"NAO ELEITO"
"JOSE ATILIO SALAZAR MARTINS";"RONDONIA";"VICE-GOVERNADOR";"17";"PARTIDO SOCIAL LIBERAL";"ELEITO"
"JOSE DE ANCHIETA JUNIOR";"RORAIMA";"GOVERNADOR";"45";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"NAO ELEITO"
"JOSE IVO SARTORI";"RIO GRANDE DO SUL";"GOVERNADOR";"15";"MOVIMENTO DEMOCRATICO BRASILEIRO";"NAO ELEITO"
"JOSE MEGALE FILHO";"PARA";"VICE-GOVERNADOR";"25";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"NAO ELEITO"
"JOSE PAULO DORNELLES CAIROLI";"RIO GRANDE DO SUL";"VICE-GOVERNADOR";"15";"PARTIDO SOCIAL DEMOCRATICO";"NAO ELEITO"
"LUCIO DUTRA VALE";"PARA";"VICE-GOVERNADOR";"15";"PARTIDO DA REPUBLICA";"ELEITO"
"MANUELA PINTO VIEIRA D AVILA";"BRASIL";"VICE-PRESIDENTE";"13";"PARTIDO COMUNISTA DO BRASIL";"NAO ELEITO"
"MARCIO DESIDERIO TEIXEIRA MIRANDA";"PARA";"GOVERNADOR";"25";"DEMOCRATAS";"NAO ELEITO"
"MARCIO LUIZ FRANCA GOMES";"SAO PAULO";"GOVERNADOR";"40";"PARTIDO SOCIALISTA BRASILEIRO";"NAO ELEITO"
"MARCOS ANTONIO CAMARGO VITOR";"MATO GROSSO DO SUL";"VICE-GOVERNADOR";"12";"PARTIDO REPUBLICANO BRASILEIRO";"NAO ELEITO"
"MARCOS JOSE ROCHA DOS SANTOS";"RONDONIA";"GOVERNADOR";"17";"PARTIDO SOCIAL LIBERAL";"ELEITO"
"MARCOS MONTES CORDEIRO";"MINAS GERAIS";"VICE-GOVERNADOR";"45";"PARTIDO SOCIAL DEMOCRATICO";"NAO ELEITO"
"MARCUS VINICIUS BRITTO DE ALBUQUERQUE DIAS";"DISTRITO FEDERAL";"VICE-GOVERNADOR";"15";"AVANTE";"ELEITO"
"MARIA DE FATIMA BEZERRA";"RIO GRANDE DO NORTE";"GOVERNADOR";"13";"PARTIDO DOS TRABALHADORES";"ELEITO"
"MAURICIO FONSECA RIBEIRO CARVALHO DE MORAES";"RONDONIA";"VICE-GOVERNADOR";"45";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"NAO ELEITO"
"MURILO ZAUITH";"MATO GROSSO DO SUL";"VICE-GOVERNADOR";"45";"DEMOCRATAS";"ELEITO"
"ODILON DE OLIVEIRA";"MATO GROSSO DO SUL";"GOVERNADOR";"12";"PARTIDO DEMOCRATICO TRABALHISTA";"NAO ELEITO"
"PAULO EDUARDO ROCHA BRANT";"MINAS GERAIS";"VICE-GOVERNADOR";"30";"PARTIDO NOVO";"ELEITO"
"PLINIO COMTE LEITE BITTENCOURT";"RIO DE JANEIRO";"VICE-GOVERNADOR";"25";"PARTIDO POPULAR SOCIALISTA";"NAO ELEITO"
"RANOLFO VIEIRA JUNIOR";"RIO GRANDE DO SUL";"VICE-GOVERNADOR";"45";"PARTIDO TRABALHISTA BRASILEIRO";"ELEITO"
"REBECCA MARTINS GARCIA";"AMAZONAS";"VICE-GOVERNADOR";"12";"PARTIDO PROGRESSISTA";"NAO ELEITO"
"REINALDO AZAMBUJA SILVA";"MATO GROSSO DO SUL";"GOVERNADOR";"45";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA";"ELEITO"
"RODRIGO GARCIA";"SAO PAULO";"VICE-GOVERNADOR";"45";"DEMOCRATAS";"ELEITO"
"RODRIGO SOBRAL ROLLEMBERG";"DISTRITO FEDERAL";"GOVERNADOR";"40";"PARTIDO SOCIALISTA BRASILEIRO";"NAO ELEITO"
"ROMEU ZEMA NETO";"MINAS GERAIS";"GOVERNADOR";"30";"PARTIDO NOVO";"ELEITO"
"SILVIA TEREZA FONTES CALDAS";"SERGIPE";"VICE-GOVERNADOR";"40";"PARTIDO DEMOCRATICO TRABALHISTA";"NAO ELEITO"
"WILSON JOSE WITZEL";"RIO DE JANEIRO";"GOVERNADOR";"20";"PARTIDO SOCIAL CRISTAO";"ELEITO"
"WILSON MIRANDA LIMA";"AMAZONAS";"GOVERNADOR";"20";"PARTIDO SOCIAL CRISTAO";"ELEITO"
