"NOME";"UNIDADE DE FEDERACAO/PAIS";"CARGO";"NUMERO";"PARTIDO"
"ABRAAO ABREU ESTRELA";"MARANHAO";"DEPUTADO ESTADUAL";"77177";"SOLIDARIEDADE"
"ABRAAO SOARES DIAS DOS SANTOS GRACCO";"MINAS GERAIS";"VICE-GOVERNADOR";"18";"REDE SUSTENTABILIDADE"
"ADAIL ADORNO TRINDADE SANTOS";"BAHIA";"DEPUTADO FEDERAL";"2705";"DEMOCRACIA CRISTA"
"ADAILSON DE LIMA RODRIGUES";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"5021";"PARTIDO SOCIALISMO E LIBERDADE"
"ADAILSON PEREIRA MOURA";"BAHIA";"DEPUTADO ESTADUAL";"31345";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"ADAILTON MUNIZ BARRETO";"SAO PAULO";"DEPUTADO ESTADUAL";"36338";"PARTIDO TRABALHISTA CRISTAO"
"ADALBERTO DA SILVA SANTOS";"RORAIMA";"DEPUTADO FEDERAL";"1222";"PARTIDO DEMOCRATICO TRABALHISTA"
"ADALBERTO MENDES NETO";"SERGIPE";"DEPUTADO ESTADUAL";"13100";"PARTIDO DOS TRABALHADORES"
"ADALGIZA GONCALVES DOS SANTOS";"SAO PAULO";"DEPUTADO ESTADUAL";"70044";"AVANTE"
"ADAVILSON TELLES";"SANTA CATARINA";"DEPUTADO ESTADUAL";"11211";"PARTIDO PROGRESSISTA"
"ADEILSON QUINTINO DE SOUSA";"MINAS GERAIS";"DEPUTADO FEDERAL";"5119";"PATRIOTA"
"ADEIRSON FELICIO RIBEIRO";"GOIAS";"DEPUTADO ESTADUAL";"20777";"PARTIDO SOCIAL CRISTAO"
"ADELAIR ROSARIO BATISTA LEITE";"GOIAS";"DEPUTADO ESTADUAL";"25147";"DEMOCRATAS"
"ADELSON ALVES DE ALMEIDA";"SERGIPE";"SENADOR";"510";"PATRIOTA"
"ADELSON LOPES DA SILVA";"GOIAS";"DEPUTADO ESTADUAL";"51900";"PATRIOTA"
"ADEMAR MORAIS DA MATA";"ESPIRITO SANTO";"1º SUPLENTE";"355";"PARTIDO DA MULHER BRASILEIRA"
"ADEMAR RIBAS NUNES";"RONDONIA";"DEPUTADO ESTADUAL";"43043";"PARTIDO VERDE"
"ADEMIR MELIM";"PARANA";"DEPUTADO ESTADUAL";"90690";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"ADENILDO ALVES DUARTE JUNIOR";"GOIAS";"DEPUTADO ESTADUAL";"44344";"PARTIDO REPUBLICANO PROGRESSISTA"
"ADENIR PORTILHO RODRIGUES";"SAO PAULO";"DEPUTADO FEDERAL";"3677";"PARTIDO TRABALHISTA CRISTAO"
"ADENIZIA ALBUQUERQUE SANTOS";"CEARA";"DEPUTADO ESTADUAL";"23200";"PARTIDO POPULAR SOCIALISTA"
"ADENOR LUIZ SIMOES COELHO";"MINAS GERAIS";"DEPUTADO FEDERAL";"4045";"PARTIDO SOCIALISTA BRASILEIRO"
"ADILCINEA DAS GRACAS DE GODOY FELIX";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"31802";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"ADILSON ALVES DA ROCHA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"14605";"PARTIDO TRABALHISTA BRASILEIRO"
"ADILSON FREIRE";"SAO PAULO";"DEPUTADO ESTADUAL";"40041";"PARTIDO SOCIALISTA BRASILEIRO"
"ADILSON RIBEIRO DE ASSIS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"36290";"PARTIDO TRABALHISTA CRISTAO"
"ADJALMA SABOIA VEIGA JUNIOR";"PARA";"DEPUTADO ESTADUAL";"17444";"PARTIDO SOCIAL LIBERAL"
"ADONIAS BARROSO DE FREITAS";"AMAPA";"DEPUTADO ESTADUAL";"10136";"PARTIDO REPUBLICANO BRASILEIRO"
"ADRIA VITORIA TEIXEIRA DE MELO";"PARA";"DEPUTADO ESTADUAL";"90777";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"ADRIAN MUSSI RAMOS";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"7720";"SOLIDARIEDADE"
"ADRIAN TAYSLANIA BRITO DOS SANTOS";"SERGIPE";"DEPUTADO ESTADUAL";"13013";"PARTIDO DOS TRABALHADORES"
"ADRIANA JUSTINO";"MINAS GERAIS";"DEPUTADO FEDERAL";"7059";"AVANTE"
"ADRIANA LOPES PIRES";"AMAPA";"DEPUTADO ESTADUAL";"40177";"PARTIDO SOCIALISTA BRASILEIRO"
"ADRIANA MICHELE DE ARAUJO MIRANDA";"ACRE";"DEPUTADO ESTADUAL";"25999";"DEMOCRATAS"
"ADRIANA PENTEADO PINHEIRO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"23050";"PARTIDO POPULAR SOCIALISTA"
"ADRIANA VIEIRA MENDES NALINE";"SAO PAULO";"DEPUTADO FEDERAL";"4014";"PARTIDO SOCIALISTA BRASILEIRO"
"ADRIANO ALVES DOS SANTOS";"PERNAMBUCO";"DEPUTADO ESTADUAL";"77977";"SOLIDARIEDADE"
"ADRIENNE MARQUES FONTES";"MATO GROSSO";"DEPUTADO FEDERAL";"4524";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"AGRINALDO JOSE E SILVA JUNIOR";"PERNAMBUCO";"DEPUTADO ESTADUAL";"44920";"PARTIDO REPUBLICANO PROGRESSISTA"
"AGUILERA DE SOUZA";"MATO GROSSO DO SUL";"DEPUTADO FEDERAL";"1551";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"AILTON JOSE DE FREITAS";"MINAS GERAIS";"DEPUTADO FEDERAL";"5448";"PARTIDO PATRIA LIVRE"
"AJURICABA FERREIRA DE SOUZA";"RONDONIA";"DEPUTADO FEDERAL";"3569";"PARTIDO DA MULHER BRASILEIRA"
"ALAERCIO MAGALHAES CARDOSO";"PARA";"DEPUTADO ESTADUAL";"44444";"PARTIDO REPUBLICANO PROGRESSISTA"
"ALAILSON SANTOS DE ALMEIDA";"SAO PAULO";"DEPUTADO FEDERAL";"2740";"DEMOCRACIA CRISTA"
"ALAN GEORGIO ARAUJO BAHIA";"RONDONIA";"1º SUPLENTE";"350";"PARTIDO DA MULHER BRASILEIRA"
"ALBA CRISTINA DE JESUS";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"70251";"AVANTE"
"ALBERT SILVA DOS SANTOS";"BAHIA";"DEPUTADO ESTADUAL";"28800";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ALBERTINA ALVES NERI";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"12614";"PARTIDO DEMOCRATICO TRABALHISTA"
"ALBERTO DOS SANTOS";"SERGIPE";"SENADOR";"350";"PARTIDO DA MULHER BRASILEIRA"
"ALCELINA BERNARDO DOS SANTOS";"PARAIBA";"DEPUTADO ESTADUAL";"23808";"PARTIDO POPULAR SOCIALISTA"
"ALCENIR JOSE CAETANO";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"65050";"PARTIDO COMUNISTA DO BRASIL"
"ALCEU TOTTI SILVEIRA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"5090";"PARTIDO SOCIALISMO E LIBERDADE"
"ALCIDES TEIXEIRA LIMA";"SAO PAULO";"DEPUTADO FEDERAL";"2780";"DEMOCRACIA CRISTA"
"ALCIDIO PEIXOTO DA SILVA";"MATO GROSSO";"DEPUTADO ESTADUAL";"33123";"PARTIDO DA MOBILIZACAO NACIONAL"
"ALCINEA PEREIRA DA SILVA";"SAO PAULO";"DEPUTADO ESTADUAL";"65652";"PARTIDO COMUNISTA DO BRASIL"
"ALDEMIR DE CARVALHO CAETANO";"AMAZONAS";"VICE-GOVERNADOR";"65";"PARTIDO COMUNISTA DO BRASIL"
"ALDINEIA DE ALMEIDA";"SAO PAULO";"DEPUTADO FEDERAL";"5459";"PARTIDO PATRIA LIVRE"
"ALDIONE ANTONIO DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"13122";"PARTIDO DOS TRABALHADORES"
"ALDO DANTAS SALES";"RORAIMA";"2º SUPLENTE";"255";"DEMOCRATAS"
"ALDO JOSE CORDEIRO DE ALCANTARA";"BAHIA";"DEPUTADO FEDERAL";"1255";"PARTIDO DEMOCRATICO TRABALHISTA"
"ALDO SCHNEIDER";"SANTA CATARINA";"DEPUTADO ESTADUAL";"15020";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"ALENCAR LOPES MACHADO";"GOIAS";"DEPUTADO ESTADUAL";"44008";"PARTIDO REPUBLICANO PROGRESSISTA"
"ALESSANDRA APARECIDA DOS SANTOS NONATO";"MINAS GERAIS";"DEPUTADO FEDERAL";"2842";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ALESSANDRA BEZERRA DE ABREU CARNEIRO";"CEARA";"DEPUTADO ESTADUAL";"28999";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ALESSANDRA DA COSTA LUNAS SANTOS";"RONDONIA";"DEPUTADO FEDERAL";"1312";"PARTIDO DOS TRABALHADORES"
"ALESSANDRA MARIA DE ALMEIDA MANHAES";"PARANA";"2º SUPLENTE";"505";"PARTIDO SOCIALISMO E LIBERDADE"
"ALESSANDRA REGINA COSTA";"SAO PAULO";"DEPUTADO ESTADUAL";"33990";"PARTIDO DA MOBILIZACAO NACIONAL"
"ALESSANDRO JOSE DE OLIVEIRA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"14126";"PARTIDO TRABALHISTA BRASILEIRO"
"ALESSANDRO MARIANO ALVES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"14100";"PARTIDO TRABALHISTA BRASILEIRO"
"ALEX GOMES DA SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"65011";"PARTIDO COMUNISTA DO BRASIL"
"ALEXANDRA DE OLIVEIRA LOUREIRO";"MATO GROSSO DO SUL";"DEPUTADO ESTADUAL";"19121";"PODEMOS"
"ALEXANDRE ABDALA JUNIOR";"SAO PAULO";"DEPUTADO FEDERAL";"5488";"PARTIDO PATRIA LIVRE"
"ALEXANDRE DA SILVA CABRAL";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"3304";"PARTIDO DA MOBILIZACAO NACIONAL"
"ALEXANDRE FERREIRA DE CASTRO E SILVA";"PARANA";"DEPUTADO ESTADUAL";"13043";"PARTIDO DOS TRABALHADORES"
"ALEXANDRE HERCULANO FERREIRA GONCALVES BRANCO";"MINAS GERAIS";"DEPUTADO ESTADUAL";"28970";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ALEXANDRE JOSE MARTINS";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"1703";"PARTIDO SOCIAL LIBERAL"
"ALEXANDRE PEREIRA DE FREITAS";"DISTRITO FEDERAL";"DEPUTADO FEDERAL";"6522";"PARTIDO COMUNISTA DO BRASIL"
"ALIDIANE BARBOSA DA SILVA";"BAHIA";"DEPUTADO ESTADUAL";"14666";"PARTIDO TRABALHISTA BRASILEIRO"
"ALINE AGUIAR FEITOSA SANTANA";"PARAIBA";"DEPUTADO ESTADUAL";"25444";"DEMOCRATAS"
"ALINE BARBOSA SOUZA";"SERGIPE";"DEPUTADO ESTADUAL";"17900";"PARTIDO SOCIAL LIBERAL"
"ALINE CARBALLO TEIXEIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"90290";"PARTIDO REPUBLICANO DA ORDEM SOCIAL"
"ALINI SANTANA DE OLIVEIRA DA SILVA";"AMAZONAS";"DEPUTADO FEDERAL";"1255";"PARTIDO DEMOCRATICO TRABALHISTA"
"ALISSON CARDOSO SILVA";"ALAGOAS";"DEPUTADO ESTADUAL";"51051";"PATRIOTA"
"ALISSON SANTOS DA CONCEICAO";"SERGIPE";"DEPUTADO ESTADUAL";"17117";"PARTIDO SOCIAL LIBERAL"
"ALMIR MAGALHAES PIMENTEL";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"22173";"PARTIDO DA REPUBLICA"
"ALMIR PORTO DE OLIVEIRA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"35190";"PARTIDO DA MULHER BRASILEIRA"
"ALOISIO JOSE MORAIS";"MINAS GERAIS";"DEPUTADO FEDERAL";"3310";"PARTIDO DA MOBILIZACAO NACIONAL"
"ALQUILE CENSI";"SANTA CATARINA";"DEPUTADO FEDERAL";"5150";"PATRIOTA"
"ALTAIR VIANA";"RONDONIA";"DEPUTADO ESTADUAL";"51333";"PATRIOTA"
"ALTAMIR DE JESUS GOMES FERREIRA";"AMAPA";"DEPUTADO ESTADUAL";"19358";"PODEMOS"
"ALVARO FERREIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"33330";"PARTIDO DA MOBILIZACAO NACIONAL"
"ALVARO LUIZ BORTOLOTTO PREIS";"SANTA CATARINA";"DEPUTADO ESTADUAL";"45663";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"ALVARO TITO DE OLIVEIRA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"10621";"PARTIDO REPUBLICANO BRASILEIRO"
"ALYSSANDRIA LAUDIER SOUSA";"PIAUI";"DEPUTADO FEDERAL";"2811";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"AMALIA MARIA DE GOUVEA";"ALAGOAS";"2º SUPLENTE";"511";"PATRIOTA"
"AMANDA BARBOSA DA SILVA";"PERNAMBUCO";"DEPUTADO ESTADUAL";"44021";"PARTIDO REPUBLICANO PROGRESSISTA"
"AMANDA COUTINHO";"GOIAS";"DEPUTADO ESTADUAL";"11192";"PARTIDO PROGRESSISTA"
"AMANDA FRUGOLI FERNANDES ALMEIDA";"SAO PAULO";"DEPUTADO ESTADUAL";"70067";"AVANTE"
"AMAURI LACERDA DE BRITO";"RIO GRANDE DO NORTE";"DEPUTADO ESTADUAL";"65663";"PARTIDO COMUNISTA DO BRASIL"
"AMAURY FELIX";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"70022";"AVANTE"
"AMERICO FERREIRA DA SILVA";"MINAS GERAIS";"DEPUTADO ESTADUAL";"50777";"PARTIDO SOCIALISMO E LIBERDADE"
"AMERICO MARCONE CABRAL DE LIRA";"PARAIBA";"DEPUTADO ESTADUAL";"70100";"AVANTE"
"AMILTON CASSIO VALENTE";"SAO PAULO";"DEPUTADO ESTADUAL";"17044";"PARTIDO SOCIAL LIBERAL"
"ANA CAROLINA BONDEZAN NOGUEIRA";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"5022";"PARTIDO SOCIALISMO E LIBERDADE"
"ANA CAROLINA FERREIRA DA ROSA GRANATO";"MINAS GERAIS";"DEPUTADO FEDERAL";"1752";"PARTIDO SOCIAL LIBERAL"
"ANA CLAUDIA GONCALVES FERREIRA";"PERNAMBUCO";"2º SUPLENTE";"130";"PARTIDO DOS TRABALHADORES"
"ANA CLAUDIA MENDES GOMES DANTAS";"MINAS GERAIS";"DEPUTADO FEDERAL";"2565";"DEMOCRATAS"
"ANA CLAUDIA RIBEIRO DA ROCHA";"PARA";"DEPUTADO FEDERAL";"4314";"PARTIDO VERDE"
"ANA CLAUDIA SAETA MENDES FERREIRA";"GOIAS";"DEPUTADO ESTADUAL";"11456";"PARTIDO PROGRESSISTA"
"ANA CLAUDIA SANTOS VIEIRA";"BAHIA";"DEPUTADO ESTADUAL";"50014";"PARTIDO SOCIALISMO E LIBERDADE"
"ANA CRISTINA DA SILVA ROSA";"PARA";"DEPUTADO FEDERAL";"3345";"PARTIDO DA MOBILIZACAO NACIONAL"
"ANA CRISTINA ROSA DE OLIVEIRA SOUZA";"MINAS GERAIS";"DEPUTADO FEDERAL";"7756";"SOLIDARIEDADE"
"ANA CRISTINA SIQUEIRA CAMPOS DA SILVEIRA";"DISTRITO FEDERAL";"DEPUTADO DISTRITAL";"14021";"PARTIDO TRABALHISTA BRASILEIRO"
"ANA CRISTINA SOUZA DOS SANTOS";"BAHIA";"DEPUTADO FEDERAL";"4550";"PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA"
"ANA KATHYA SILVA HENRIQUES";"AMAPA";"DEPUTADO FEDERAL";"1578";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"ANA MARIA DE SOUZA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"18145";"REDE SUSTENTABILIDADE"
"ANA MARIA OLIVEIRA QUEIROZ TEOFILO";"GOIAS";"DEPUTADO ESTADUAL";"15328";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"ANA MARIA SOUZA E SILVA";"GOIAS";"DEPUTADO ESTADUAL";"50503";"PARTIDO SOCIALISMO E LIBERDADE"
"ANA PAULA ANDRADE DA SILVA";"AMAZONAS";"DEPUTADO ESTADUAL";"43008";"PARTIDO VERDE"
"ANA PAULA DE ALBUQUERQUE MARTINS";"MARANHAO";"DEPUTADO ESTADUAL";"50321";"PARTIDO SOCIALISMO E LIBERDADE"
"ANA PAULA DE SOUSA";"TOCANTINS";"DEPUTADO FEDERAL";"1881";"REDE SUSTENTABILIDADE"
"ANA PAULA MACIEL BRITO";"RONDONIA";"DEPUTADO ESTADUAL";"13100";"PARTIDO DOS TRABALHADORES"
"ANA PAULA MASSONETTO SCHNEIDER DE MELLO";"SAO PAULO";"2º SUPLENTE";"180";"REDE SUSTENTABILIDADE"
"ANA PAULA SANTOS DA SILVA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"10988";"PARTIDO REPUBLICANO BRASILEIRO"
"ANA PAULA SANTOS RODRIGUES";"MINAS GERAIS";"DEPUTADO ESTADUAL";"70560";"AVANTE"
"ANA RITA MACIEL RIBEIRO";"MATO GROSSO";"DEPUTADO FEDERAL";"2555";"DEMOCRATAS"
"ANA TEREZA PINTO";"MARANHAO";"DEPUTADO FEDERAL";"2015";"PARTIDO SOCIAL CRISTAO"
"ANA VIRGINEA ASCHAR DE OLIVEIRA MACEDO";"MATO GROSSO";"DEPUTADO ESTADUAL";"15666";"MOVIMENTO DEMOCRATICO BRASILEIRO"
"ANANDA DE AMORIM VIEIRA";"SAO PAULO";"DEPUTADO ESTADUAL";"17023";"PARTIDO SOCIAL LIBERAL"
"ANDERSON CARLOS DA SILVA CARVALHO";"BAHIA";"DEPUTADO FEDERAL";"3626";"PARTIDO TRABALHISTA CRISTAO"
"ANDERSON DOS SANTOS BITTANTE";"SAO PAULO";"DEPUTADO ESTADUAL";"28013";"PARTIDO RENOVADOR TRABALHISTA BRASILEIRO"
"ANDERSON FERNANDES DE OLIVEIRA";"RIO DE JANEIRO";"DEPUTADO ESTADUAL";"70337";"AVANTE"
"ANDERSON GARCIA BORGES";"RIO DE JANEIRO";"DEPUTADO FEDERAL";"4030";"PARTIDO SOCIALISTA BRASILEIRO"
"ANDERSON RIBEIRO DE OLIVEIRA";"BAHIA";"DEPUTADO ESTADUAL";"31222";"PARTIDO HUMANISTA DA SOLIDARIEDADE"
"ANDRE CASTRO DOS SANTOS";"RONDONIA";"DEPUTADO ESTADUAL";"35321";"PARTIDO DA MULHER BRASILEIRA"
"ANDRE DE CASTRO E SILVA PRETTO";"RIO GRANDE DO SUL";"DEPUTADO FEDERAL";"2550";"DEMOCRATAS"
"ANDRE ELIAS CRUZ ANTUNES";"MATO GROSSO";"DEPUTADO FEDERAL";"2929";"PARTIDO DA CAUSA OPERARIA"
"ANDRE JORGE MARUJO";"SAO PAULO";"DEPUTADO FEDERAL";"3617";"PARTIDO TRABALHISTA CRISTAO"
"ANDRE LUIZ DE ARAUJO";"SAO PAULO";"DEPUTADO ESTADUAL";"40007";"PARTIDO SOCIALISTA BRASILEIRO"
